x,high-density-houses
0.98738,19.753
1.99911,19.796
3.00753,21.675
3.99908,25.507
5.00418,28.994
5.99912,32.826
7.00746,32.983
8.01223,29.349
9.00336,24.797
10.00136,21.623
11.00966,21.091
12.02811,19.525
